Nombre,Link,Ubicacion,Precio,Cant Habitaciones,Cant Baños,Antigüedad,Parqueadero
,http://www.metrocuadrado.com/proyecto/torremolinos-casas-campestres/4212-C00009-01,,$1.040.000.000,3,5 o más,,
,http://www.metrocuadrado.com/proyecto/torreladera-bosque-reservado-casas-3/1572-C00012-01,,$1.295.000.000,4,5 o más,,
,http://www.metrocuadrado.com/proyecto/camino-del-bosque/5449-C00003-01,,$3.900.000.000,4,5 o más,,
Casa en Venta; Bogotá D.C.; CAMINO DE ARRAYANES,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-casa-blanca-4-habitaciones-5-banos-3-garajes/5500-M1969137,,$775.000.000,4,5 o más,,3
Casa en Venta; Bogotá D.C.; CANODROMO,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-tierra-linda-3-habitaciones-2-banos-3-garajes/5175-546,,$1.000.000.000,3,2,,3
Casa en Venta; Bogotá D.C.; PRADERA NORTE,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-pradera-norte-3-habitaciones-2-banos-1-garajes/3422-847-14,,$330.500.000,3,2,,1
Casa en Venta; Bogotá D.C.; MORATO,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-santa-rosa-4-habitaciones-4-banos-2-garajes/3858-2282,,$750.000.000,4,4,,2
Casa en Venta; Bogotá D.C.; NICOLAS DE FEDERMAN,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-nicolas-de-federman-3-habitaciones-4-banos-3-garajes/164-9044,,$900.000.000,3,4,,3
Casa en Venta; Bogotá D.C.; TABORA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-tabora-4-habitaciones-4-banos-3-garajes/488-1990,,$420.000.000,4,4,,3
Casa en Venta; Bogotá D.C.; MOLINOS NORTE,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-molinos-norte-1-habitaciones-0-banos-0-garajes/945-1037976,,$1.900.000.000,1,,,
Casa en Venta; Bogotá D.C.; SAN SIMON GUAYMARAL,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-viveros-4-habitaciones-4-banos-3-garajes/5310-M1968914,,$1.990.000,4,4,,3
Casa en Venta; Bogotá D.C.; GARCES NAVAS,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-villa-amalia-5-habitaciones-4-banos-0-garajes/3014-M1968915,,$330.000.000,5 o más,4,,
Casa en Venta; Bogotá D.C.; LAS VILLAS,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-prado-veraniego-sur-5-habitaciones-3-banos-2-garajes/5031-9472,,$900.000.000,5 o más,3,,2
Casa en Venta; Bogotá D.C.; ALTOS DE SOTILEZA,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-niza-suba-4-habitaciones-5-banos-4-garajes/50-M1968857,,$1.300.000.000,4,5 o más,,4 o más
Casa en Venta; Bogotá D.C.; SANTA ISABEL OCCIDENTAL,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-santa-isabel-sur-5-habitaciones-3-banos-2-garajes/9-2017100028,,$800.000.000,5 o más,3,,2
Casa en Venta; Bogotá D.C.; SAN FELIPE,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-felipe-3-habitaciones-3-banos-4-garajes/537-M1968618,,$1.070.000.000,3,3,,4 o más
Casa en Venta; Bogotá D.C.; NIZA NORTE,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-prado-veraniego-norte-3-habitaciones-2-banos-4-garajes/4623-M1968626,,$780.000.000,3,2,,4 o más
Casa en Venta; Bogotá D.C.; COLINA MAZUREN,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-mazuren-4-habitaciones-4-banos-2-garajes/938-M1968677,,$538.000.000,4,4,,2
Casa en Venta; Bogotá D.C.; SAN JOSE SPRING,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-san-jose-del-prado-4-habitaciones-3-banos-1-garajes/938-M1968794,,$515.000.000,4,3,,1
Casa en Venta; Bogotá D.C.; NIZA NORTE,http://www.metrocuadrado.com/inmueble/venta-casa-bogota-prado-veraniego-norte-3-habitaciones-2-banos-4-garajes/4623-M1968611,,$780.000.000,3,2,,4 o más
